trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return
2025-08-05,"HAG,MBB,TPB,NAG,NAF",5,0.07516955055477462,0.04526439552185748,0.38386163115501404,0.004,0.07116955055477461,12.123464395681053,5.784867269363063,1.2580921536231333
2025-08-06,"ANV,DGW,NAF,GEE,VCG",5,0.03323385585047225,0.03312473088079675,0.39041662216186523,0.004,0.029233855850472248,12.559607719665923,5.98321510108021,1.3328908485159383
2025-08-07,"VDS,ANV,TPB,FCN,HT1",5,0.02032392888625716,0.03201019373692506,0.43813544511795044,0.004,0.01632392888625716,12.835192222685956,6.097208607787681,1.4075671365440328
2025-08-08,"HT1,HAG,TDC,NAF,PC1",5,0.0019846372314371807,0.005504136352929742,0.41770654916763306,0.004,-0.0020153627685628194,12.862650060275188,6.082905157798821,1.420818714342404
2025-08-11,"GEE,MSN,TPB,PC1,BMS",5,0.03529061322060414,0.012059482819049233,0.3971046507358551,0.004,0.03129061322060414,13.351871481764944,6.304533603569726,1.450012536036049
2025-08-12,"VOS,VDS,HT1,HAG,DHA",5,0.018196936672057174,0.01594562511031275,0.39089059829711914,0.004,0.014196936672057174,13.613031578244122,6.408235604558518,1.4890795174512461
2025-08-13,"EVG,HDG,NLG,VDS,AFX",5,-0.009915984926591025,-0.0029544550431565924,0.42807039618492126,0.004,-0.013915984926591025,13.468128977382454,6.305142709552847,1.4817256439180944
2025-08-14,"HDG,MBB,HDB,VJC,EVG",5,-0.0016228006153135243,-0.012188848053356415,0.4366149306297302,0.004,-0.005622800615313525,13.444650088775523,6.26406734863062,1.4514762671342587
2025-08-15,"DSC,NAG,CRE,FCN,MBB",5,-0.007508261298565499,-0.017496026291153592,0.3892270028591156,0.004,-0.0115082612985655,13.336195881542649,6.180470563492201,1.4085851739123387
2025-08-18,"PC1,HDG,TCI,CRE,NHA",5,-0.10587579515743976,-0.04648358917494748,0.4270162582397461,0.004,-0.10987579515743977,11.818339743051508,5.391510650723906,1.2966254901953285
2025-08-19,"VDS,SAM,DSC,EVG,HDB",5,-0.03710290797814379,-0.031022252561171533,0.4451048970222473,0.004,-0.041102907978143796,11.342742063132485,5.128800976605875,1.2253789942000646
2025-08-20,"FCN,MSB,AGG,CSM",4,0.005411008713353399,-0.020628051268635067,0.36034727096557617,0.004,0.001411008713353399,11.409528747982769,5.1374487681862755,1.179473762215562
2025-08-21,"TPB,SSB,MSB,STB,MBB",5,-0.04154777256942514,-0.00946811577567248,0.4271204471588135,0.004,-0.045547772569425146,10.893940469867838,4.857901647536429,1.1588382523048644
2025-08-22,"TDC,NVL,NAG,MSB,LDP",5,0.007697687395051079,0.019213919679570958,0.3801632821559906,0.004,0.0036976873950510785,10.985496305500229,4.879562336619974,1.2003179970858353
2025-08-25,"HAG,NAG,VOS,PC1,HDG",5,0.036334308188094286,0.05042827803964182,0.4178745150566101,0.004,0.03233430818809428,11.420981022051539,5.069673917223355,1.3112762448185076
2025-08-26,"NAF,ANV,MSB,TCI,EVG",5,0.0441628274641019,0.024322250659360417,0.4056394696235657,0.004,0.040162827464101894,11.969526663863284,5.313449183524156,1.3674916849880083
2025-08-27,"CSM,IJC,PC1,HDB,TCI",5,0.04874263947046942,0.012306554266785055,0.392094224691391,0.004,0.044742639470469414,12.601695626142611,5.595929564157706,1.3966273498854758
2025-08-28,"TCI,DSC,EVG,MSB,VDS",5,0.003356133602003042,-0.027009301237610934,0.4050065577030182,0.004,-0.0006438663979969582,12.647344733877725,5.591682666747791,1.3318961198381216
2025-08-29,"TCI,SHS,MSB,EVG,RYG",5,-0.030967896253479378,-0.027214209367199472,0.4218563437461853,0.004,-0.034967896253479375,12.224715178023532,5.361185391121095,1.2684354106102869
2025-09-03,"L14,MSB,CRE,EVG,IJC",5,-0.06532204231410572,-0.035980666085130605,0.394428551197052,0.004,-0.06932204231410573,11.360849773572681,4.9202150282699275,1.186815593565432
2025-09-04,"TCI,SSB,VDS,ACB,EVG",5,-0.05316026580048252,-0.03178322019357175,0.3889724314212799,0.004,-0.057160265800482515,10.703743714089724,4.581813963658007,1.117311552032406
2025-09-05,"EVG,TCI,HAG,ACB,TPB",5,-0.06516340579970341,-0.0062111233489798275,0.384458065032959,0.004,-0.06916340579970341,9.941087913072767,4.195756699391078,1.104160668814513
2025-09-08,"SHS,MSB,HDG,L14,POW",5,0.04022238137251326,0.03740067424375682,0.3954019248485565,0.004,0.036222381372513254,10.381164523742576,4.383959380075212,1.18285769654537
2025-09-09,"CTP,PC1,IJC,SSB,CSM",5,0.06759549287796447,0.021797328448960703,0.3719908595085144,0.004,0.06359549287796447,11.15047994925016,4.7263549304860355,1.2304381627143113
2025-09-10,"CSM,RYG,NHA,PC1,VDS",5,-0.00898542132961233,0.013221323792520012,0.3671642243862152,0.004,-0.012985421329612331,11.04130276754914,4.651995799030772,1.2599275078627508
2025-09-11,GEE,1,0.04817218995558603,0.004804719477528292,0.35275906324386597,0.004,0.04417218995558603,11.621358691780241,4.901656831093733,1.270785825577581
2025-09-12,"CSM,IJC,TDC,EVG,NHA",5,0.006147393809266499,-0.011193820233038634,0.4049489498138428,0.004,0.0021473938092664993,11.698947154066621,4.914330012437239,1.2453670572583335
2025-09-15,"CSM,VHC,GEE,EVG,IJC",5,-0.04774562103922579,-0.03895565797228705,0.4188458025455475,0.004,-0.051745621039225795,11.092628035651401,4.608289332912743,1.1578973061535374
